iter	Passed	Remaining
264	721	2000
265	724	1999
266	726	1993
267	727	1987
268	730	1985
269	732	1979
270	733	1972
271	736	1971
272	738	1967
273	740	1962
274	745	1965
275	746	1959
276	749	1956
277	750	1950
278	752	1944
279	754	1939
280	755	1933
281	757	1927
282	758	1922
283	760	1917
284	762	1911
285	763	1905
286	765	1901
287	766	1895
288	768	1889
289	769	1883
290	771	1879
291	772	1873
292	774	1867
293	776	1863
294	778	1860
295	779	1854
296	781	1848
297	783	1844
298	784	1839
299	785	1833
300	788	1830
301	790	1826
302	791	1821
303	793	1816
304	795	1812
305	796	1806
306	797	1801
307	799	1797
308	801	1792
309	802	1787
310	804	1782
311	806	1778
312	807	1773
313	809	1768
314	810	1763
315	812	1759
316	814	1754
317	816	1750
318	818	1746
319	819	1742
320	821	1737
321	823	1733
322	824	1728
323	826	1724
324	829	1723
325	832	1720
326	834	1717
327	848	1738
328	850	1734
329	851	1729
330	853	1724
331	862	1735
332	865	1733
333	869	1734
334	872	1732
335	874	1728
336	876	1724
337	878	1719
338	879	1715
339	881	1710
340	883	1707
341	885	1703
342	886	1698
343	889	1695
344	890	1691
345	892	1686
346	893	1681
347	895	1677
348	897	1674
349	901	1673
350	903	1669
351	904	1665
352	907	1662
353	909	1660
354	911	1656
355	913	1652
356	914	1647
357	916	1643
358	918	1639
359	920	1635
360	921	1631
361	923	1627
362	924	1622
363	925	1617
364	927	1613
365	929	1609
366	930	1605
367	932	1600
368	933	1596
369	934	1591
370	937	1589
371	939	1585
372	940	1581
373	942	1577
374	943	1573
375	945	1568
376	946	1563
377	947	1559
378	949	1556
379	951	1552
380	953	1548
381	955	1545
382	956	1540
383	957	1536
384	959	1532
385	961	1528
386	962	1525
387	964	1521
388	965	1516
389	967	1513
390	968	1509
391	970	1505
392	971	1501
393	973	1496
394	974	1492
395	975	1488
396	977	1484
397	979	1481
398	981	1477
399	982	1474
400	984	1470
401	985	1466
402	987	1463
403	989	1459
404	990	1455
405	992	1451
406	993	1448
407	995	1444
408	996	1440
409	997	1436
410	999	1432
411	1000	1428
412	1002	1424
413	1003	1420
414	1004	1416
415	1005	1412
416	1007	1408
417	1008	1404
418	1009	1400
419	1010	1396
420	1012	1392
421	1014	1389
422	1015	1385
423	1017	1382
424	1020	1380
425	1031	1390
426	1036	1390
427	1038	1387
428	1040	1384
429	1049	1391
430	1064	1405
431	1068	1404
432	1070	1402
433	1074	1401
434	1080	1402
435	1083	1402
436	1090	1404
437	1095	1406
438	1100	1406
439	1106	1407
440	1111	1408
441	1113	1405
442	1125	1415
443	1131	1417
444	1134	1414
445	1136	1412
446	1139	1409
447	1140	1405
448	1142	1402
